,Name,price,ranking,rating,# of Images,# of videos,desc,desc words,keywords
0,Crocs Unisex-Adult Classic Clogs (Best Sellers),$34.99,n/a,4.8 out of 5,6.0,0.0,"It’s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you're sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort , a color for every personality, and an ongoing invitation to be comfortable in your own shoes.
Looking for the ultimate warm-weather shoe? Crocs' Classic clog has a ventilated upper and a traction outsole to make it a top wet-dry performer--perfect for the beach--but we can think of a zillion other places you'll want to wear it.",92.0,0.0
1,Crocs Unisex-Adult Classic Clogs (Best Sellers),$34.99,n/a,4.8 out of 5,6.0,0.0,"It’s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you're sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort , a color for every personality, and an ongoing invitation to be comfortable in your own shoes.
Looking for the ultimate warm-weather shoe? Crocs' Classic clog has a ventilated upper and a traction outsole to make it a top wet-dry performer--perfect for the beach--but we can think of a zillion other places you'll want to wear it.",92.0,0.0
2,,,,,,,,,
3,Crocs Unisex-Adult Classic Clogs (Best Sellers),$34.99,n/a,4.8 out of 5,6.0,0.0,"It’s the iconic clog that started a comfort revolution around the world! The irreverent go-to comfort shoe that you're sure to fall deeper in love with day after day. Crocs Classic Clogs offer lightweight Iconic Crocs Comfort , a color for every personality, and an ongoing invitation to be comfortable in your own shoes.
Looking for the ultimate warm-weather shoe? Crocs' Classic clog has a ventilated upper and a traction outsole to make it a top wet-dry performer--perfect for the beach--but we can think of a zillion other places you'll want to wear it.",92.0,0.0
4,Hey Dude Men's Wally Sox Onyx Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,$59.95,n/a,4.8 out of 5,6.0,0.0,no Description,0.0,0.0
5,Hey Dude Men's Wally Sox Onyx Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,$59.95,n/a,4.8 out of 5,6.0,0.0,no Description,0.0,0.0
6,,,,,,,,,
7,Hey Dude Men's Wally Sox Onyx Multiple Colors | Men’s Shoes | Men's Lace Up Loafers | Comfortable & Light-Weight,$59.95,n/a,4.8 out of 5,6.0,0.0,no Description,0.0,0.0
8,VIFUUR Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women,$19.99,n/a,4.3 out of 5,6.0,0.0,no Description,0.0,0.0
9,VIFUUR Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women,$19.99,n/a,4.3 out of 5,6.0,0.0,no Description,0.0,0.0
10,,,,,,,,,
11,VIFUUR Water Sports Shoes Barefoot Quick-Dry Aqua Yoga Socks Slip-on for Men Women,$19.99,n/a,4.3 out of 5,6.0,0.0,no Description,0.0,0.0
12,"ODODOS Unisex Mini Belt Bag with Adjustable Strap Small Waist Pouch for Workout Running Travelling Hiking, Aqua Blue",$18.98,n/a,4.7 out of 5,6.0,3.0,no Description,0.0,0.0
13,"ODODOS Unisex Mini Belt Bag with Adjustable Strap Small Waist Pouch for Workout Running Travelling Hiking, Aqua Blue",$18.98,n/a,4.7 out of 5,6.0,3.0,no Description,0.0,0.0
14,,,,,,,,,
15,"ODODOS Unisex Mini Belt Bag with Adjustable Strap Small Waist Pouch for Workout Running Travelling Hiking, Aqua Blue",$18.98,n/a,4.7 out of 5,6.0,3.0,no Description,0.0,0.0
16,Under Armour Men's Tech Graphic Shorts,Page 1 of 10,n/a,4.7 out of 5,7.0,0.0,"UA Tech™ fabric is quick-drying, ultra-soft & has a more natural feel. Material wicks sweat & dries really fast. Encased elastic waistband with internal drawcord. Mesh hand pockets. Inseam: 10"".",29.0,1.0
17,Under Armour Men's Tech Graphic Shorts,Page 1 of 10,n/a,4.7 out of 5,7.0,0.0,"UA Tech™ fabric is quick-drying, ultra-soft & has a more natural feel. Material wicks sweat & dries really fast. Encased elastic waistband with internal drawcord. Mesh hand pockets. Inseam: 10"".",29.0,1.0
18,,,,,,,,,
19,Under Armour Men's Tech Graphic Shorts,Page 1 of 63,n/a,4.7 out of 5,7.0,0.0,"UA Tech™ fabric is quick-drying, ultra-soft & has a more natural feel. Material wicks sweat & dries really fast. Encased elastic waistband with internal drawcord. Mesh hand pockets. Inseam: 10"".",29.0,1.0
20,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",$15.00,n/a,4.6 out of 5,5.0,0.0,"Gildan is one of the world's largest vertically integrated manufacturers of apparel and socks. Gildan uses cotton grown in the USA, which represents the best combination of quality and value for Gildan's cotton and cotton blended products. Since 2009, Gildan has proudly displayed the Cotton USA mark, licensed by Cotton Council International, on consumer's product packaging and shipping materials. Gildan's environmental program accomplishes two core objectives: Reduce our environmental impact and preserve the natural resources being used in our manufacturing process. At all operating levels, Gildan is aware of the fact that we operate as a part of a greater unit: The environment in which we live and work.",108.0,2.0
